INSTANCE;VALUE_GR;WEIGHT_GR;EXECUTION_TIME_GR;VALUE_BF;WEIGHT_BF;EXECUTION_TIME_BF;VALUE_DP;WEIGHT_DP;EXECUTION_TIME_DP;VALUE_BNB;WEIGHT_BNB;EXECUTION_TIME_BNB
problem_10_50_1_1;159;50;0.000000;159;50;0.007004;159;50;0.000000;159;50;0.000000
problem_10_50_1_2;214;61;0.000000;214;61;0.005003;168;57;0.000000;214;61;0.000000
problem_10_50_1_3;184;100;0.000000;199;121;0.004002;185;118;0.001000;193;108;0.000000
problem_10_50_1_4;246;221;0.000000;246;221;0.009007;212;226;0.000000;246;221;0.000000
problem_10_50_1_5;213;242;0.000000;213;242;0.004003;213;242;0.001001;213;242;0.000000
problem_10_50_2_1;63;48;0.000000;64;50;0.008005;64;50;0.000000;64;50;0.000000
problem_10_50_2_2;45;30;0.000000;79;61;0.007005;74;61;0.000000;76;58;0.000000
problem_10_50_2_3;113;102;0.000000;130;122;0.009005;130;122;0.001000;130;122;0.000000
problem_10_50_2_4;195;185;0.000000;233;228;0.004003;233;226;0.000000;219;214;0.000000
problem_10_50_2_5;226;222;0.000000;238;237;0.004002;237;242;0.000000;226;222;0.000000
problem_10_50_3_1;73;43;0.000000;79;49;0.006003;79;49;0.000000;73;43;0.000000
problem_10_50_3_2;126;66;0.000000;135;75;0.005004;127;77;0.000000;126;66;0.000000
problem_10_50_3_3;182;112;0.000000;182;112;0.004002;173;113;0.000000;182;112;0.000000
problem_10_50_3_4;283;213;0.000000;308;238;0.007004;308;238;0.001001;283;213;0.000000
problem_10_50_3_5;287;197;0.000000;290;200;0.004002;281;201;0.000000;287;197;0.001001
problem_10_50_4_1;35;35;0.000000;51;51;0.005053;50;50;0.000000;41;41;0.000000
problem_10_50_4_2;50;50;0.000000;79;79;0.008005;79;79;0.000000;79;79;0.000000
problem_10_50_4_3;92;92;0.000000;113;113;0.004503;113;113;0.000000;111;111;0.000000
problem_10_50_4_4;229;229;0.000000;238;238;0.008005;238;238;0.000000;229;229;0.000000
problem_10_50_4_5;168;168;0.000000;204;204;0.004504;204;204;0.000000;197;197;0.001008
problem_10_100_1_1;198;86;0.000000;198;86;0.004503;198;86;0.000000;198;86;0.000000
problem_10_100_1_2;371;145;0.000000;371;145;0.008005;325;141;0.000000;371;145;0.000000
problem_10_100_1_3;323;321;0.000000;324;342;0.004503;324;342;0.000999;323;321;0.000000
problem_10_100_1_4;507;462;0.000000;507;462;0.054535;408;417;0.001000;507;462;0.000000
problem_10_100_1_5;481;433;0.001000;481;433;0.008004;429;418;0.000000;481;433;0.000000
problem_10_100_2_1;117;100;0.000000;117;100;0.004001;117;100;0.001001;117;100;0.000000
problem_10_100_2_2;94;82;0.000000;159;146;0.067044;159;146;0.000000;159;146;0.000000
problem_10_100_2_3;294;273;0.000000;366;347;0.026017;361;343;0.001000;330;308;0.000000
problem_10_100_2_4;481;441;0.001000;497;459;0.008506;483;455;0.000000;481;441;0.000000
problem_10_100_2_5;426;425;0.000000;445;449;0.004272;445;449;0.000000;434;440;0.000000
problem_10_100_3_1;141;91;0.000000;141;101;0.027019;141;91;0.000000;141;91;0.000000
problem_10_100_3_2;183;123;0.000000;185;125;0.005506;177;127;0.000000;183;123;0.000000
problem_10_100_3_3;248;188;0.000000;298;238;0.006004;298;238;0.000000;248;188;0.000000
problem_10_100_3_4;433;363;0.000000;507;437;0.004503;494;424;0.001001;433;363;0.000000
problem_10_100_3_5;501;421;0.000000;575;495;0.005003;565;485;0.001001;501;421;0.000000
problem_10_100_4_1;85;85;0.000000;101;101;0.004002;101;101;0.000000;91;91;0.000000
problem_10_100_4_2;117;117;0.000000;129;129;0.004503;129;129;0.000000;123;123;0.000000
problem_10_100_4_3;192;192;0.000000;238;238;0.008005;238;238;0.000999;226;226;0.000000
problem_10_100_4_4;429;429;0.000000;437;437;0.006003;432;432;0.000000;429;429;0.001001
problem_10_100_4_5;468;468;0.000000;495;495;0.006004;494;494;0.000000;468;468;0.000000
problem_10_500_1_1;873;291;0.000000;949;464;0.007506;949;464;0.001001;873;291;0.000000
problem_10_500_1_2;1390;722;0.000000;1450;830;0.004502;1267;876;0.001001;1450;830;0.000993
problem_10_500_1_3;2348;782;0.000000;2396;877;0.008004;2205;878;0.001000;2396;877;0.000000
problem_10_500_1_4;2348;1357;0.000000;2348;1357;0.022513;2348;1357;0.002002;2348;1357;0.000000
problem_10_500_1_5;2814;2805;0.000000;2814;2805;0.016510;2726;2768;0.003001;2814;2805;0.000000
problem_10_500_2_1;375;326;0.000000;541;528;0.009506;502;500;0.002001;403;369;0.000000
problem_10_500_2_2;831;740;0.000000;875;868;0.004502;870;876;0.001001;854;810;0.000000
problem_10_500_2_3;778;714;0.000000;942;890;0.004503;934;889;0.002002;884;858;0.000000
problem_10_500_2_4;1493;1289;0.000000;1501;1387;0.006504;1463;1352;0.002001;1494;1335;0.000000
problem_10_500_2_5;2878;2754;0.000000;2990;2935;0.005003;2899;2881;0.003008;2878;2754;0.000000
problem_10_500_3_1;537;497;0.000000;537;497;0.004504;537;497;0.000000;537;497;0.000000
problem_10_500_3_2;1017;977;0.000000;1189;1149;0.004502;1184;1154;0.002001;1017;977;0.000000
problem_10_500_3_3;792;722;0.000000;1108;1038;0.004503;1080;1030;0.001001;792;722;0.000000
problem_10_500_3_4;1642;1562;0.000000;1703;1633;0.018011;1694;1624;0.002001;1642;1562;0.000000
problem_10_500_3_5;2851;2771;0.000000;3159;3079;0.008504;3112;3032;0.004003;2851;2771;0.000000
problem_10_500_4_1;485;485;0.000000;498;498;0.005003;498;498;0.000000;491;491;0.000000
problem_10_500_4_2;1098;1098;0.000000;1154;1154;0.012508;1154;1154;0.001006;1098;1098;0.000000
problem_10_500_4_3;792;792;0.000000;1038;1038;0.004002;1036;1036;0.001000;1025;1025;0.000000
problem_10_500_4_4;1600;1600;0.000000;1637;1637;0.008505;1632;1632;0.002001;1600;1600;0.000000
problem_10_500_4_5;3068;3068;0.000000;3079;3079;0.004504;3032;3032;0.003003;3068;3068;0.000000
problem_10_1000_1_1;2098;786;0.000000;2287;964;0.004503;2287;964;0.001001;2098;786;0.000000
problem_10_1000_1_2;4084;1785;0.000000;4089;1879;0.007006;3143;1675;0.002001;4084;1785;0.000000
problem_10_1000_1_3;2993;2320;0.000000;3183;2616;0.024517;3041;2630;0.004004;2993;2320;0.000000
problem_10_1000_1_4;4649;2367;0.000000;4649;2367;0.033021;4649;2367;0.003005;4649;2367;0.000000
problem_10_1000_1_5;4213;5123;0.000000;4213;5123;0.008504;4206;5251;0.006004;4213;5123;0.000000
problem_10_1000_2_1;1207;991;0.001001;1207;991;0.004503;1207;991;0.001000;1207;991;0.000000
problem_10_1000_2_2;2047;1819;0.000000;2047;1819;0.004502;2047;1819;0.001997;2047;1819;0.000000
problem_10_1000_2_3;2661;2355;0.000000;2864;2616;0.007005;2864;2616;0.005005;2661;2355;0.000000
problem_10_1000_2_4;2476;2184;0.000000;2561;2386;0.025517;2522;2391;0.002000;2477;2230;0.000000
problem_10_1000_2_5;4959;4930;0.000000;5336;5367;0.008504;5210;5381;0.005003;5336;5367;0.000000
problem_10_1000_3_1;1030;990;0.000000;1030;1000;0.004503;1030;990;0.001001;1030;990;0.000000
problem_10_1000_3_2;2182;2132;0.000000;2183;2153;0.013008;2183;2153;0.002001;2182;2132;0.000000
problem_10_1000_3_3;2264;2204;0.000000;2338;2288;0.004502;2338;2288;0.005004;2264;2204;0.000000
problem_10_1000_3_4;2549;2469;0.001001;2703;2633;0.012008;2691;2621;0.003002;2549;2469;0.000000
problem_10_1000_3_5;4006;3926;0.000000;4800;4730;0.005003;4764;4694;0.007004;4006;3926;0.001002
problem_10_1000_4_1;905;905;0.000000;1000;1000;0.011507;995;995;0.006004;905;905;0.001001
problem_10_1000_4_2;1598;1598;0.000000;2153;2153;0.049032;2153;2153;0.003002;2018;2018;0.000000
problem_10_1000_4_3;2261;2261;0.000000;2288;2288;0.005003;2288;2288;0.004004;2261;2261;0.000000
problem_10_1000_4_4;2600;2600;0.000000;2633;2633;0.009506;2626;2626;0.003000;2600;2600;0.000000
problem_10_1000_4_5;4568;4568;0.000000;4730;4730;0.005504;4694;4694;0.005002;4568;4568;0.000000
problem_50_50_1_1;581;245;0.000000;;;;581;245;0.002003;;;
problem_50_50_1_2;891;354;0.000000;;;;878;390;0.003000;;;
problem_50_50_1_3;953;637;0.000000;;;;930;648;0.006001;;;
problem_50_50_1_4;1170;853;0.001001;;;;1150;885;0.004001;;;
problem_50_50_1_5;1087;1080;0.000000;;;;1314;1080;0.007005;;;
problem_50_50_2_1;283;232;0.000000;;;;298;246;0.002001;;;
problem_50_50_2_2;432;363;0.000000;;;;456;390;0.002000;;;
problem_50_50_2_3;692;643;0.000000;;;;696;648;0.003001;;;
problem_50_50_2_4;928;850;0.000000;;;;960;885;0.005005;;;
problem_50_50_2_5;1091;1060;0.000000;;;;1105;1080;0.006003;;;
problem_50_50_3_1;404;224;0.000000;;;;419;239;0.001001;;;
problem_50_50_3_2;700;390;0.000000;;;;698;398;0.002009;;;
problem_50_50_3_3;998;658;0.000000;;;;990;660;0.003994;;;
problem_50_50_3_4;1212;802;0.000000;;;;1234;824;0.007005;;;
problem_50_50_3_5;1431;981;0.000000;;;;1445;1005;0.005011;;;
problem_50_50_4_1;239;239;0.000000;;;;239;239;0.001000;;;
problem_50_50_4_2;378;378;0.000000;;;;398;398;0.002001;;;
problem_50_50_4_3;651;651;0.000000;;;;660;660;0.005003;;;
problem_50_50_4_4;803;803;0.000000;;;;824;824;0.005008;;;
problem_50_50_4_5;994;994;0.000000;;;;1005;1005;0.005007;;;
problem_50_100_1_1;1067;425;0.000000;;;;1098;458;0.004004;;;
problem_50_100_1_2;1730;798;0.000000;;;;1691;807;0.004003;;;
problem_50_100_1_3;1866;1330;0.000000;;;;1873;1363;0.007004;;;
problem_50_100_1_4;2130;1594;0.000000;;;;2060;1616;0.009004;;;
problem_50_100_1_5;2235;2004;0.000000;;;;2221;2078;0.012007;;;
problem_50_100_2_1;565;457;0.000000;;;;570;464;0.003002;;;
problem_50_100_2_2;873;749;0.001000;;;;930;806;0.004002;;;
problem_50_100_2_3;1501;1367;0.000000;;;;1500;1373;0.008013;;;
problem_50_100_2_4;1695;1555;0.000000;;;;1742;1618;0.007996;;;
problem_50_100_2_5;2162;2076;0.000000;;;;2163;2080;0.012007;;;
problem_50_100_3_1;633;433;0.000000;;;;639;439;0.003002;;;
problem_50_100_3_2;1182;912;0.000000;;;;1191;931;0.006005;;;
problem_50_100_3_3;1650;1300;0.000000;;;;1660;1310;0.007012;;;
problem_50_100_3_4;1977;1557;0.000000;;;;1967;1557;0.010999;;;
problem_50_100_3_5;2417;1967;0.000000;;;;2445;2005;0.011016;;;
problem_50_100_4_1;439;439;0.000000;;;;439;439;0.002994;;;
problem_50_100_4_2;908;908;0.000000;;;;931;931;0.005003;;;
problem_50_100_4_3;1285;1285;0.000000;;;;1310;1310;0.007007;;;
problem_50_100_4_4;1544;1544;0.000000;;;;1557;1557;0.009003;;;
problem_50_100_4_5;2000;2000;0.000000;;;;2005;2005;0.012009;;;
problem_50_500_1_1;6037;2030;0.000000;;;;6082;2071;0.011006;;;
problem_50_500_1_2;7551;3757;0.000000;;;;7595;4005;0.023015;;;
problem_50_500_1_3;10668;6076;0.000000;;;;10498;6251;0.035032;;;
problem_50_500_1_4;9859;7984;0.000999;;;;9895;8334;0.047031;;;
problem_50_500_1_5;13517;11000;0.000000;;;;13521;11170;0.090060;;;
problem_50_500_2_1;1998;1671;0.000000;;;;2436;2076;0.016011;;;
problem_50_500_2_2;4308;3791;0.000000;;;;4497;4006;0.025018;;;
problem_50_500_2_3;6900;6265;0.001003;;;;6900;6265;0.139145;;;
problem_50_500_2_4;8652;8019;0.000000;;;;8926;8352;0.112075;;;
problem_50_500_2_5;11381;11221;0.000000;;;;11355;11246;0.107572;;;
problem_50_500_3_1;2394;2194;0.000000;;;;2432;2232;0.015010;;;
problem_50_500_3_2;4742;4472;0.001001;;;;4934;4664;0.035023;;;
problem_50_500_3_3;6643;6293;0.000000;;;;6810;6460;0.058538;;;
problem_50_500_3_4;9007;8607;0.000000;;;;9090;8690;0.056036;;;
problem_50_500_3_5;12041;11601;0.000000;;;;12445;12005;0.082555;;;
problem_50_500_4_1;2236;2236;0.000000;;;;2239;2239;0.014009;;;
problem_50_500_4_2;4571;4571;0.000000;;;;4664;4664;0.032021;;;
problem_50_500_4_3;6381;6381;0.000000;;;;6460;6460;0.041027;;;
problem_50_500_4_4;8409;8409;0.000000;;;;8690;8690;0.094562;;;
problem_50_500_4_5;11936;11936;0.000000;;;;12005;12005;0.075050;;;
problem_50_1000_1_1;15224;3763;0.000000;;;;15314;3841;0.025015;;;
problem_50_1000_1_2;16812;8173;0.000000;;;;16317;8476;0.055036;;;
problem_50_1000_1_3;20189;12983;0.000000;;;;19982;13021;0.122082;;;
problem_50_1000_1_4;22030;14318;0.000000;;;;22207;14631;0.085557;;;
problem_50_1000_1_5;20394;22789;0.000000;;;;20307;22858;0.113576;;;
problem_50_1000_2_1;4316;3469;0.000000;;;;4789;3913;0.018512;;;
problem_50_1000_2_2;9391;8259;0.001000;;;;9640;8507;0.041027;;;
problem_50_1000_2_3;14187;12763;0.000000;;;;14379;13020;0.063042;;;
problem_50_1000_2_4;15872;14417;0.000000;;;;16026;14682;0.096064;;;
problem_50_1000_2_5;22946;22698;0.000000;;;;22983;22910;0.182622;;;
problem_50_1000_3_1;4343;4153;0.000000;;;;4512;4322;0.028519;;;
problem_50_1000_3_2;9466;9216;0.000000;;;;9914;9664;0.064044;;;
problem_50_1000_3_3;13271;12931;0.001004;;;;13540;13210;0.085557;;;
problem_50_1000_3_4;15360;14950;0.000000;;;;15424;15024;0.099566;;;
problem_50_1000_3_5;20629;20179;0.000000;;;;21205;20755;0.119580;;;
problem_50_1000_4_1;4254;4254;0.000000;;;;4322;4322;0.026018;;;
problem_50_1000_4_2;9308;9308;0.000000;;;;9664;9664;0.048533;;;
problem_50_1000_4_3;12645;12645;0.000000;;;;13210;13210;0.083555;;;
problem_50_1000_4_4;14909;14909;0.000000;;;;15024;15024;0.073547;;;
problem_50_1000_4_5;20351;20351;0.001002;;;;20755;20755;0.099065;;;
problem_100_50_1_1;1223;471;0.002783;;;;1244;488;0.004002;;;
problem_100_50_1_2;1648;744;0.000000;;;;1635;779;0.010006;;;
problem_100_50_1_3;2066;1207;0.000755;;;;2066;1243;0.015010;;;
problem_100_50_1_4;2319;1642;0.000000;;;;2306;1664;0.016511;;;
problem_100_50_1_5;2415;2182;0.000000;;;;2415;2182;0.023014;;;
problem_100_50_2_1;534;445;0.001001;;;;580;488;0.010005;;;
problem_100_50_2_2;916;767;0.000000;;;;924;779;0.014009;;;
problem_100_50_2_3;1341;1241;0.000000;;;;1344;1244;0.012008;;;
problem_100_50_2_4;1788;1656;0.001000;;;;1793;1664;0.017510;;;
problem_100_50_2_5;2270;2176;0.000000;;;;2280;2191;0.022515;;;
problem_100_50_3_1;837;477;0.000000;;;;840;480;0.003502;;;
problem_100_50_3_2;1392;802;0.000000;;;;1421;831;0.012508;;;
problem_100_50_3_3;1958;1268;0.000000;;;;1956;1276;0.017512;;;
problem_100_50_3_4;2518;1708;0.000000;;;;2553;1743;0.023515;;;
problem_100_50_3_5;2902;1992;0.000000;;;;2911;2011;0.018512;;;
problem_100_50_4_1;437;437;0.000000;;;;480;480;0.003502;;;
problem_100_50_4_2;830;830;0.001001;;;;831;831;0.010007;;;
problem_100_50_4_3;1261;1261;0.000000;;;;1276;1276;0.010005;;;
problem_100_50_4_4;1719;1719;0.000000;;;;1743;1743;0.017511;;;
problem_100_50_4_5;2005;2005;0.000000;;;;2011;2011;0.023016;;;
problem_100_100_1_1;2299;941;0.001000;;;;2299;941;0.007505;;;
problem_100_100_1_2;3377;1632;0.000000;;;;3372;1676;0.017011;;;
problem_100_100_1_3;4068;2685;0.000000;;;;4093;2718;0.040528;;;
problem_100_100_1_4;4474;3187;0.000000;;;;4410;3230;0.037523;;;
problem_100_100_1_5;4905;4322;0.000000;;;;4869;4355;0.082056;;;
problem_100_100_2_1;1067;881;0.001001;;;;1137;946;0.022014;;;
problem_100_100_2_2;1923;1642;0.000000;;;;1960;1679;0.026017;;;
problem_100_100_2_3;2970;2717;0.000000;;;;2967;2719;0.030019;;;
problem_100_100_2_4;3469;3197;0.000000;;;;3488;3230;0.027017;;;
problem_100_100_2_5;4568;4319;0.000000;;;;4600;4358;0.042027;;;
problem_100_100_3_1;1253;853;0.000000;;;;1280;880;0.012508;;;
problem_100_100_3_2;2267;1717;0.002002;;;;2305;1765;0.024016;;;
problem_100_100_3_3;3234;2524;0.000000;;;;3236;2526;0.032521;;;
problem_100_100_3_4;3909;3079;0.000998;;;;3973;3143;0.036524;;;
problem_100_100_3_5;4921;4011;0.001001;;;;4953;4053;0.040527;;;
problem_100_100_4_1;862;862;0.000000;;;;880;880;0.009007;;;
problem_100_100_4_2;1680;1680;0.000000;;;;1765;1765;0.018512;;;
problem_100_100_4_3;2511;2511;0.000000;;;;2526;2526;0.024015;;;
problem_100_100_4_4;3119;3119;0.000000;;;;3143;3143;0.031520;;;
problem_100_100_4_5;4023;4023;0.000000;;;;4053;4053;0.047031;;;
problem_100_500_1_1;11915;3749;0.000000;;;;12251;3977;0.030021;;;
problem_100_500_1_2;16700;7812;0.001000;;;;16595;7945;0.076550;;;
problem_100_500_1_3;20432;12908;0.000000;;;;20276;13118;0.122112;;;
problem_100_500_1_4;22806;17196;0.000000;;;;22668;17226;0.147096;;;
problem_100_500_1_5;25659;22848;0.000000;;;;25602;22857;0.164108;;;
problem_100_500_2_1;4427;3687;0.000000;;;;4741;3977;0.028020;;;
problem_100_500_2_2;8849;7733;0.000000;;;;9038;7945;0.053034;;;
problem_100_500_2_3;14155;12919;0.000000;;;;14354;13116;0.088059;;;
problem_100_500_2_4;18426;17130;0.001001;;;;18534;17230;0.155103;;;
problem_100_500_2_5;23438;22592;0.001002;;;;23689;22857;0.305240;;;
problem_100_500_3_1;4457;4047;0.000000;;;;4574;4164;0.029520;;;
problem_100_500_3_2;8936;8366;0.000000;;;;8958;8398;0.077552;;;
problem_100_500_3_3;13144;12434;0.000000;;;;13336;12626;0.110574;;;
problem_100_500_3_4;16693;15873;0.001001;;;;16686;15876;0.125584;;;
problem_100_500_3_5;23590;22690;0.000000;;;;23786;22886;0.168613;;;
problem_100_500_4_1;4151;4151;0.000000;;;;4164;4164;0.028519;;;
problem_100_500_4_2;8390;8390;0.000000;;;;8398;8398;0.051034;;;
problem_100_500_4_3;12392;12392;0.000000;;;;12626;12626;0.074048;;;
problem_100_500_4_4;15539;15539;0.000000;;;;15876;15876;0.095063;;;
problem_100_500_4_5;22623;22623;0.000000;;;;22886;22886;0.153260;;;
problem_100_1000_1_1;23884;7914;0.000000;;;;24357;8391;0.057039;;;
problem_100_1000_1_2;33591;15929;0.000000;;;;33445;16588;0.112074;;;
problem_100_1000_1_3;40347;24592;0.000501;;;;41369;25119;0.182122;;;
problem_100_1000_1_4;46603;34143;0.000000;;;;46501;34222;0.206137;;;
problem_100_1000_1_5;43499;46504;0.000500;;;;44623;46576;0.275184;;;
problem_100_1000_2_1;9516;7805;0.000000;;;;10152;8395;0.048032;;;
problem_100_1000_2_2;18106;15882;0.000500;;;;18860;16611;0.099066;;;
problem_100_1000_2_3;27832;24877;0.000000;;;;28012;25116;0.155104;;;
problem_100_1000_2_4;36715;33931;0.000000;;;;36947;34227;0.225152;;;
problem_100_1000_2_5;47157;46255;0.000000;;;;47485;46608;0.287191;;;
problem_100_1000_3_1;9023;8613;0.000000;;;;9074;8664;0.051035;;;
problem_100_1000_3_2;17915;17375;0.000000;;;;18095;17565;0.109073;;;
problem_100_1000_3_3;25911;25211;0.000000;;;;26316;25626;0.153102;;;
problem_100_1000_3_4;31850;31040;0.000501;;;;32353;31543;0.195130;;;
problem_100_1000_3_5;40849;39939;0.000500;;;;41286;40386;0.245164;;;
problem_100_1000_4_1;8656;8656;0.000000;;;;8664;8664;0.049032;;;
problem_100_1000_4_2;17430;17430;0.000000;;;;17565;17565;0.101067;;;
problem_100_1000_4_3;25392;25392;0.000000;;;;25626;25626;0.149100;;;
problem_100_1000_4_4;31117;31117;0.000000;;;;31543;31543;0.184123;;;
problem_100_1000_4_5;39747;39747;0.000500;;;;40386;40386;0.235157;;;
problem_500_50_1_1;6088;2127;0.001001;;;;6115;2147;0.078052;;;
problem_500_50_1_2;8133;4223;0.000500;;;;8096;4229;0.122082;;;
problem_500_50_1_3;10441;6359;0.005503;;;;10441;6398;0.188127;;;
problem_500_50_1_4;11782;8570;0.001001;;;;11771;8602;0.288192;;;
problem_500_50_1_5;12071;10727;0.001001;;;;12073;10738;0.322215;;;
problem_500_50_2_1;2618;2121;0.000501;;;;2647;2147;0.070047;;;
problem_500_50_2_2;4822;4186;0.001001;;;;4862;4229;0.128084;;;
problem_500_50_2_3;7070;6398;0.008506;;;;7070;6398;0.276185;;;
problem_500_50_2_4;9248;8596;0.001001;;;;9252;8602;0.524350;;;
problem_500_50_2_5;11089;10736;0.001001;;;;11088;10738;0.646431;;;
problem_500_50_3_1;4123;2153;0.001001;;;;4129;2159;0.129087;;;
problem_500_50_3_2;6874;3914;0.003003;;;;6879;3929;0.248158;;;
problem_500_50_3_3;9970;6490;0.001001;;;;9992;6512;0.426283;;;
problem_500_50_3_4;12600;8510;0.001000;;;;12608;8518;0.495331;;;
problem_500_50_3_5;15153;10603;0.001000;;;;15155;10615;0.634424;;;
problem_500_50_4_1;2151;2151;0.000501;;;;2159;2159;0.123082;;;
problem_500_50_4_2;3886;3886;0.000501;;;;3929;3929;0.226151;;;
problem_500_50_4_3;6478;6478;0.000500;;;;6512;6512;0.381255;;;
problem_500_50_4_4;8512;8512;0.000501;;;;8518;8518;0.501334;;;
problem_500_50_4_5;10600;10600;0.001001;;;;10615;10615;0.619413;;;
problem_500_100_1_1;11486;4255;0.001001;;;;11506;4272;0.247165;;;
problem_500_100_1_2;16357;8355;0.000501;;;;16388;8429;0.493329;;;
problem_500_100_1_3;20479;13020;0.002001;;;;20499;13048;0.773515;;;
problem_500_100_1_4;23101;16765;0.001000;;;;23042;16802;1.028.686;;;
problem_500_100_1_5;24406;20578;0.001000;;;;24368;20609;1.193.796;;;
problem_500_100_2_1;5131;4267;0.001001;;;;5136;4272;0.246164;;;
problem_500_100_2_2;9687;8423;0.001001;;;;9693;8429;0.488325;;;
problem_500_100_2_3;14197;12993;0.001001;;;;14245;13048;0.756506;;;
problem_500_100_2_4;18026;16801;0.001000;;;;18015;16802;0.977653;;;
problem_500_100_2_5;21482;20586;0.001501;;;;21506;20613;1.250.834;;;
problem_500_100_3_1;6217;4167;0.000500;;;;6251;4201;0.243162;;;
problem_500_100_3_2;11182;8312;0.000999;;;;11206;8346;0.491327;;;
problem_500_100_3_3;16456;12966;0.001001;;;;16527;13037;0.765512;;;
problem_500_100_3_4;20829;16729;0.001001;;;;20841;16751;0.993665;;;
problem_500_100_3_5;25498;20938;0.001501;;;;25498;20948;1.231.822;;;
problem_500_100_4_1;4201;4201;0.000500;;;;4201;4201;0.249166;;;
problem_500_100_4_2;8323;8323;0.000501;;;;8346;8346;0.536358;;;
problem_500_100_4_3;13008;13008;0.000500;;;;13037;13037;0.740495;;;
problem_500_100_4_4;16711;16711;0.000500;;;;16751;16751;1.094.732;;;
problem_500_100_4_5;20913;20913;0.001001;;;;20948;20948;1.216.813;;;
problem_500_500_1_1;58126;21577;0.001002;;;;58221;21655;1.286.859;;;
problem_500_500_1_2;84630;39690;0.001000;;;;84484;39795;2.334.560;;;
problem_500_500_1_3;99525;63296;0.001501;;;;99355;63446;3.651.042;;;
problem_500_500_1_4;114476;84714;0.000999;;;;114552;85133;3.988.766;;;
problem_500_500_1_5;122114;103002;0.001001;;;;122059;103029;4.999.405;;;
problem_500_500_2_1;25569;21549;0.001000;;;;25685;21655;1.688.127;;;
problem_500_500_2_2;45667;39616;0.001001;;;;45826;39796;2.561.568;;;
problem_500_500_2_3;70158;63045;0.001502;;;;70566;63448;2.983.311;;;
problem_500_500_2_4;91045;85058;0.001000;;;;91102;85135;3.566.382;;;
problem_500_500_2_5;107433;102906;0.001002;;;;107491;103030;5.662.879;;;
problem_500_500_3_1;23267;21277;0.000500;;;;23291;21301;1.620.272;;;
problem_500_500_3_2;43288;40388;0.001000;;;;43513;40613;2.268.163;;;
problem_500_500_3_3;65203;61643;0.001001;;;;65547;61987;3.093.649;;;
problem_500_500_3_4;86218;82128;0.001000;;;;86441;82351;3.225.289;;;
problem_500_500_3_5;112367;107817;0.001501;;;;112415;107865;4.710.357;;;
problem_500_500_4_1;21134;21134;0.000500;;;;21301;21301;1.441.154;;;
problem_500_500_4_2;40264;40264;0.000501;;;;40613;40613;2.460.258;;;
problem_500_500_4_3;61643;61643;0.000501;;;;61987;61987;4.155.454;;;
problem_500_500_4_4;82002;82002;0.000501;;;;82351;82351;3.158.347;;;
problem_500_500_4_5;107647;107647;0.000501;;;;107865;107865;5.240.500;;;
problem_500_1000_1_1;114437;42500;0.000500;;;;114892;42822;2.494.667;;;
problem_500_1000_1_2;165118;84688;0.001000;;;;164603;84962;4.968.317;;;
problem_500_1000_1_3;203616;122443;0.001001;;;;203751;122947;7.763.605;;;
problem_500_1000_1_4;229247;165514;0.001001;;;;229432;166134;5.797.005;;;
problem_500_1000_1_5;252043;212119;0.001001;;;;252230;213026;6.996.674;;;
problem_500_1000_2_1;50684;42032;0.000000;;;;51549;42820;1.585.058;;;
problem_500_1000_2_2;96886;84688;0.001001;;;;97172;84960;5.070.386;;;
problem_500_1000_2_3;135773;122856;0.000999;;;;135803;122948;7.255.844;;;
problem_500_1000_2_4;177471;165504;0.001001;;;;177989;166136;9.847.576;;;
problem_500_1000_2_5;219252;212694;0.001001;;;;219427;213030;12.251.274;;;
problem_500_1000_3_1;44409;42379;0.001000;;;;44414;42384;1.944.298;;;
problem_500_1000_3_2;87432;84592;0.001001;;;;87609;84779;3.757.511;;;
problem_500_1000_3_3;124568;121018;0.002001;;;;125037;121487;5.065.382;;;
problem_500_1000_3_4;173664;169604;0.000999;;;;174411;170351;7.119.399;;;
problem_500_1000_3_5;223107;218567;0.001000;;;;223655;219115;10.792.140;;;
problem_500_1000_4_1;42136;42136;0.000000;;;;42384;42384;2.431.234;;;
problem_500_1000_4_2;84136;84136;0.000000;;;;84779;84779;5.647.030;;;
problem_500_1000_4_3;121369;121369;0.001000;;;;121487;121487;5.748.446;;;
problem_500_1000_4_4;170002;170002;0.001000;;;;170351;170351;9.194.139;;;
problem_500_1000_4_5;218940;218940;0.001000;;;;219115;219115;11.235.430;;;
